x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,atual_cm,delta_2h_cm,delta_4h_cm,target_2h_cm,target_4h_cm,split,event
140,-1,-3,-9,1,2,3,8,1,236,0,0,0,7,-1,140,2.78893474,-3.518639321,142.7889347,136.4813607,1,9
141,1,0,-5,2,3,4,10,6,236,0,0,0,4,-1,141,4.687730131,-2.474353436,145.6877301,138.5256466,1,9
144,3,4,1,2,4,6,10,12,237,1,1,1,3,2,144,5.526266534,-0.7554071249,149.5262665,143.2445929,1,9
150,6,9,9,3,5,8,12,17,237,0,1,1,1,1,150,6.791529483,-2.311252671,156.7915295,147.6887473,1,9
154,4,10,14,-2,1,5,8,13,237,0,0,1,2,10,154,1.886532868,-4.611355115,155.8865329,149.3886449,1,9
158,4,8,17,0,-2,3,7,13,237,0,0,1,0,17,158,3.776496872,-2.976492178,161.7764969,155.0235078,1,9
160,2,6,16,-2,-2,-1,5,9,238,1,1,2,1,12,160,1.784053066,-4.210900882,161.7840531,155.7890991,1,9
162,0,2,8,-2,-2,-4,1,4,237,0,-1,0,0,4,162,-1.235866676,-5.64332963,160.7641333,156.3566704,1,9
162,2,4,12,0,-2,-4,4,8,237,-1,0,0,-1,6,162,1.883477717,-5.670462703,163.8834777,156.3295373,1,9
163,0,0,1,0,-1,-2,-6,2,237,0,0,-1,0,2,163,-0.9759204728,-3.213976881,162.0240795,159.7860231,1,9
163,0,1,3,-1,0,-2,-3,3,237,0,0,0,0,1,163,-1.38514202,-4.306362741,161.614858,158.6936373,1,9
163,1,1,5,1,-1,-3,0,4,237,0,0,0,0,2,163,1.382340593,-1.733060094,164.3823406,161.2669399,1,9
164,0,1,1,-1,0,-1,-4,-1,246,6,9,9,6,6,164,4.347487755,10.10279934,168.3474878,174.1027993,1,9
164,1,1,2,1,1,1,-3,2,240,3,3,3,3,3,164,2.38928927,3.132576952,166.3892893,167.132577,1,9
165,1,1,2,1,0,1,-1,-2,248,2,8,11,1,2,165,6.47176181,11.90760611,171.4717618,176.9076061,1,9
168,3,4,5,2,3,3,1,-3,249,1,3,12,1,1,168,5.122711518,21.12324515,173.1227115,189.1232451,1,9
177,9,12,13,6,8,8,9,5,271,22,23,34,22,22,177,25.31283743,60.48671872,202.3128374,237.4867187,1,9
188,11,20,24,2,8,11,10,7,297,26,48,57,26,26,188,37.95966556,67.26031263,225.9596656,255.2603126,1,9
