camada_logica;layer_geopackage;arquivo_principal;geometria;grao; cobertura;crs;chave;fonte_e_data;uso_principal;limitacao_essencial
bacia_taquari_antas;bacia_taquari_antas;bacia.geojson;Polygon;limite da bacia;Taquari-Antas;EPSG:4326;sem chave tematica;SEMA/DRH recorte vigente;mascara e contexto espacial;limite de recorte nao e area de inundacao
municipios_combinados;municipios_combinados;downloads/municipios_combinados.geojson;Polygon;municipio IBGE;118 municipios que intersectam a bacia;EPSG:4326;cod_mun;IBGE malha e Censo 2022;mapa e comparacao municipal;indicadores representam municipio inteiro em municipios de borda
setores_na_bacia_combinados;setores_na_bacia_combinados;downloads/setores_na_bacia_combinados.geojson;Polygon;setor censitario;3283 setores cujo ponto representativo esta na bacia;EPSG:4326;setor;IBGE Censo 2022 e SEMA/DRH;agregacao dentro da bacia;na_bacia e um recorte por ponto representativo, area_pct_bacia audita a fracao geometrica
setores_municipios_intersectantes_combinados;nao distribuido como layer GPKG separado;downloads/setores_municipios_intersectantes_combinados.csv;sem geometria neste arquivo;setor censitario;5053 setores de municipios que tocam a bacia;sem CRS no CSV;setor;IBGE Censo 2022;auditoria e filtro na_bacia;use setor GEOJSON ou pacote completo para geometria
grade_200m_na_bacia;grade_200m_na_bacia;downloads/dados_combinados_taquari_antas.zip/grade_200m_na_bacia_combinada.geojson;Polygon;celula estatistica de aproximadamente 200 m;36723 celulas dentro da bacia;EPSG:4326;id_grade ou id_grade_previne;IBGE Grade Estatistica 2022 e SEMA/DRH;mapa regular e analise raster-like;nao substitui setor e tem somente pop/dom, area_pct_bacia audita a fracao geometrica
perigo_setores_risco_sgb_santa_tereza;perigo_setores_risco_sgb_santa_tereza;perigo/setores_risco_sgb_santa_tereza.geojson;Polygon;setor de risco SGB;37 setores em Santa Tereza 4317251;EPSG:4326;num_setor;SGB levantamento 2025 captura 2026-08-09;camada de perigo setorizado;nao e mancha continua e nao cobre a bacia inteira
servicos_ubs;servicos_ubs;servicos/ubs.geojson;Point;ponto cadastrado;municipios intersectantes consultados no IEDE;EPSG:4326;nome mais cod_mun;IEDE-RS, pacote gerado 2026-08-18, captura original sem data;localizacao de unidades basicas;ausencia de ponto nao prova ausencia do servico
servicos_hospitais;servicos_hospitais;servicos/hospitais.geojson;Point;ponto cadastrado;municipios intersectantes consultados no IEDE;EPSG:4326;nome mais cod_mun;IEDE-RS, pacote gerado 2026-08-18, captura original sem data;localizacao de hospitais;ausencia de ponto nao prova ausencia do servico
servicos_escolas;servicos_escolas;servicos/escolas.geojson;Point;ponto cadastrado;municipios intersectantes consultados no IEDE;EPSG:4326;nome mais cod_mun;IEDE-RS, pacote gerado 2026-08-18, captura original sem data;localizacao de escolas;ausencia de ponto nao prova ausencia do servico
servicos_bombeiros;servicos_bombeiros;servicos/bombeiros.geojson;Point;ponto cadastrado;municipios intersectantes consultados no IEDE;EPSG:4326;nome mais cod_mun;IEDE-RS, pacote gerado 2026-08-18, captura original sem data;localizacao de bombeiros;ausencia de ponto nao prova ausencia do servico
servicos_abrigos;servicos_abrigos;servicos/abrigos.geojson;Point;ponto operacional local;Santa Tereza conforme cadastro local;EPSG:4326;id;Defesa Civil Santa Tereza e PREVINE geocodificado 2026-07-30;ficha operacional e ponto de encontro;nao extrapolar para outros municipios e revisar cota/modelo
