camada;campo;tipo;unidade;denominador_ou_universo;data_referencia;fonte;missing_e_caveat;uso_recomendado
municipios_combinados;cod_mun;texto;codigo IBGE;nao se aplica;malha 2022;IBGE;chave unica do municipio;join e rotulo
municipios_combinados;nome;texto;nome do municipio;nao se aplica;malha 2022;IBGE;nome oficial da malha;rotulo
municipios_combinados;pct_na_bacia;numero;percentual da area municipal;area do municipio;recorte vigente;SEMA/DRH e malha IBGE;nao e percentual de populacao;comunicar fracao espacial
municipios_combinados;pop;inteiro;pessoas;populacao municipal inteira;Censo 2022;IBGE;inclui pessoas fora da bacia em municipios de borda;mapa municipal somente com rotulo explicito
municipios_combinados;pop_bacia;inteiro;pessoas;setores com na_bacia=1;Censo 2022;IBGE e SEMA/DRH;zero pode significar nenhum setor no recorte e nao deve ser substituido sem nota;totais dentro da bacia
municipios_combinados;dom;inteiro;domicilios;universo publicado pelo IBGE;Censo 2022;IBGE;municipal inteiro;comparacao municipal
municipios_combinados;dom_ocupados;inteiro;domicilios;V00001 domicilios particulares permanentes ocupados;Censo 2022;IBGE;valor X pode ser nulo quando suprimido;denominador agua e esgoto
municipios_combinados;mulheres;inteiro;pessoas;populacao municipal;Censo 2022;IBGE;campo sujeito a supressao estatistica;contagem e percentual da populacao
municipios_combinados;c0_4;inteiro;pessoas;populacao municipal;Censo 2022;IBGE;campo sujeito a supressao estatistica;contagem e percentual da populacao
municipios_combinados;c5_9;inteiro;pessoas;populacao municipal;Censo 2022;IBGE;campo sujeito a supressao estatistica;contagem e percentual da populacao
municipios_combinados;i60_69;inteiro;pessoas;populacao municipal;Censo 2022;IBGE;campo sujeito a supressao estatistica;contagem e percentual da populacao
municipios_combinados;i70m;inteiro;pessoas;populacao municipal;Censo 2022;IBGE;campo sujeito a supressao estatistica;contagem e percentual da populacao
municipios_combinados;indigenas;inteiro;pessoas;populacao municipal;Censo 2022;IBGE;campo sujeito a supressao estatistica;contagem e percentual da populacao
